property_id,address,city,state,price,bedrooms,bathrooms,sqft,lot_size,year_built,property_type,listing_status,days_on_market,agent_name,sale_date
1,123 Oak Street,Los Angeles,CA,850000,4,3,2200,5500,2005,Single Family,Sold,45,Sarah Johnson,2024-01-15
2,456 Maple Avenue,San Francisco,CA,1250000,3,2,1800,3200,1998,Condo,Sold,30,Michael Chen,2024-01-20
3,789 Pine Road,Seattle,WA,725000,3,2,1650,4800,2010,Single Family,Active,22,Emily Davis,
4,321 Cedar Lane,Portland,OR,485000,2,1,1200,2800,1985,Townhouse,Sold,60,James Wilson,2024-02-01
5,654 Birch Court,Denver,CO,595000,4,2,1950,6200,2015,Single Family,Active,15,Lisa Martinez,
6,987 Elm Street,Austin,TX,420000,3,2,1700,5000,2008,Single Family,Sold,35,Robert Brown,2024-01-28
7,147 Willow Way,Phoenix,AZ,385000,3,2,1550,4500,2012,Single Family,Pending,28,Amanda Taylor,
8,258 Spruce Drive,Las Vegas,NV,340000,2,2,1300,3800,2018,Condo,Sold,42,David Anderson,2024-02-05
9,369 Redwood Place,San Diego,CA,925000,4,3,2400,7000,2000,Single Family,Active,18,Jennifer White,
10,741 Aspen Circle,Miami,FL,675000,3,2,1850,4200,2006,Condo,Sold,55,Christopher Lee,2024-01-10
11,852 Hickory Lane,Atlanta,GA,395000,3,2,1600,5800,1995,Single Family,Active,32,Michelle Garcia,
12,963 Magnolia Street,Nashville,TN,445000,4,3,2100,6500,2003,Single Family,Sold,25,Kevin Rodriguez,2024-02-10
13,159 Cypress Avenue,Charlotte,NC,365000,3,2,1450,4000,2014,Townhouse,Pending,20,Rachel Thompson,
14,267 Juniper Road,Chicago,IL,525000,4,2,1900,3500,1990,Single Family,Sold,48,Daniel Harris,2024-01-25
15,378 Walnut Street,Boston,MA,890000,3,2,1650,2800,1988,Condo,Active,12,Stephanie Clark,
16,489 Chestnut Drive,New York,NY,1450000,2,2,1400,0,2020,Condo,Sold,38,Andrew Lewis,2024-02-08
17,591 Sycamore Place,Dallas,TX,475000,4,3,2300,7200,2007,Single Family,Active,26,Nicole Walker,
18,612 Poplar Court,Houston,TX,390000,3,2,1550,5500,2011,Single Family,Sold,52,Brandon Hall,2024-01-18
19,723 Beech Lane,Philadelphia,PA,435000,3,2,1700,4000,1992,Townhouse,Pending,33,Megan Allen,
20,834 Alder Avenue,San Jose,CA,1100000,4,3,2150,4800,2016,Single Family,Sold,40,Justin Young,2024-02-12
21,945 Cherry Street,Scottsdale,AZ,550000,3,2,1800,6000,2009,Single Family,Active,19,Ashley King,
22,156 Hawthorn Drive,Orlando,FL,425000,4,2,1950,5200,2004,Single Family,Sold,44,Ryan Wright,2024-01-30
23,267 Dogwood Lane,Raleigh,NC,380000,3,2,1500,4600,2013,Townhouse,Active,27,Amber Scott,
24,378 Mulberry Road,Minneapolis,MN,465000,4,3,2200,6800,1999,Single Family,Pending,36,Timothy Green,
25,489 Pecan Court,Tampa,FL,395000,3,2,1600,4400,2010,Single Family,Sold,50,Brittany Adams,2024-02-03
26,591 Olive Street,Sacramento,CA,575000,3,2,1700,5000,2002,Single Family,Active,14,Jacob Nelson,
27,612 Fig Avenue,Salt Lake City,UT,485000,4,2,1850,6200,2008,Single Family,Sold,31,Samantha Hill,2024-01-22
28,723 Lemon Drive,San Antonio,TX,355000,3,2,1450,4800,2015,Single Family,Active,23,Nathan Moore,
29,834 Orange Lane,Columbus,OH,320000,3,2,1550,5400,1997,Single Family,Pending,41,Victoria Jackson,
30,945 Grape Road,Indianapolis,IN,295000,4,2,1800,6600,1993,Single Family,Sold,58,Tyler Martin,2024-02-06
31,156 Apple Court,Kansas City,MO,340000,3,2,1650,5800,2006,Single Family,Active,16,Kayla Thomas,
32,267 Pear Street,Milwaukee,WI,285000,3,1,1400,4200,1989,Single Family,Sold,65,Dylan Jackson,2024-01-12
33,378 Plum Avenue,Albuquerque,NM,310000,4,2,1750,7400,2001,Single Family,Active,29,Courtney White,
34,489 Peach Drive,Tucson,AZ,275000,3,2,1500,5000,2012,Single Family,Pending,34,Derek Harris,
35,591 Apricot Lane,Oklahoma City,OK,265000,3,2,1350,4600,2009,Single Family,Sold,47,Lauren Clark,2024-02-14
36,612 Mango Road,Louisville,KY,315000,4,2,1800,6000,1996,Single Family,Active,21,Brandon Lewis,
37,723 Coconut Court,Memphis,TN,285000,3,2,1550,5200,2003,Single Family,Sold,53,Jessica Robinson,2024-01-08
38,834 Banana Street,Baltimore,MD,425000,3,2,1650,3800,2000,Townhouse,Pending,39,Austin Walker,
39,945 Kiwi Avenue,Pittsburgh,PA,345000,4,2,1900,4400,2007,Single Family,Active,17,Morgan Hall,
40,156 Melon Drive,Cincinnati,OH,290000,3,2,1450,5600,2011,Single Family,Sold,46,Cameron Young,2024-02-09
41,267 Berry Lane,Virginia Beach,VA,365000,3,2,1600,4800,2005,Single Family,Active,24,Alexis King,
42,378 Lime Road,Riverside,CA,495000,4,2,1850,5400,2014,Single Family,Pending,30,Jordan Wright,
43,489 Tangerine Court,Boise,ID,385000,3,2,1550,6200,2016,Single Family,Sold,37,Taylor Scott,2024-01-27
44,591 Avocado Street,Reno,NV,425000,4,3,2050,5800,2010,Single Family,Active,13,Morgan Green,
45,612 Papaya Avenue,Omaha,NE,275000,3,2,1400,4400,2008,Single Family,Sold,56,Casey Adams,2024-02-01
46,723 Guava Drive,Colorado Springs,CO,445000,4,2,1900,6600,2013,Single Family,Active,20,Jamie Nelson,
47,834 Passion Lane,Richmond,VA,355000,3,2,1650,5000,2002,Single Family,Pending,43,Drew Hill,
48,612 Starfruit Road,Hartford,CT,395000,4,2,1750,4200,1998,Single Family,Sold,49,Pat Moore,2024-01-16
49,945 Dragon Court,Providence,RI,415000,3,2,1600,3600,1994,Townhouse,Active,25,Alex Martin,
50,156 Lychee Street,Buffalo,NY,245000,3,2,1450,5800,1991,Single Family,Sold,62,Chris Thomas,2024-02-11
